Player,Team,Pos,Height,Weight,Birth Date,Age,Agency,Agent,Contractual Status,YOS
Cat Barber,Scarborough Shooting Stars,PG,6-1,173,"Jul 25, 1994",30,,Kim Grillier,Unrestricted Free Agent,1
Dominick Barlow,Atlanta Hawks,PF,6-8,215,"May 26, 2003",22,Life Sports Agency,Todd Ramasar,"Atlanta Hawks, Mar 4, 2025",2
Harrison Barnes,San Antonio Spurs,SF,6-8,225,"May 30, 1992",33,Excel Sports Management,Sam Goldfeder,"San Antonio Spurs, Jun 29, 2023",12
Scottie Barnes,Toronto Raptors,F-G,6-7,237,"Aug 1, 2001",23,WME Sports,"Bill Duffy
David Mondress","Toronto Raptors, Jul 8, 2024",3
R.J. Barrett,Toronto Raptors,F-G,6-6,214,"Jun 14, 2000",25,WME Sports,Bill Duffy,"Toronto Raptors, Sep 1, 2022",5
Will Barton,Atleticos de San German,SG,6-5,181,"Jan 6, 1991",34,LIFT Sports Management,Ryan Davis,Unrestricted Free Agent (Toronto Raptors),11
Paris Bass,Leones de Ponce,GF,6-7,187,"Aug 29, 1995",29,Hazan Sports Management,Daniel Hazan,Unrestricted Free Agent,1
Charles Bassey,San Antonio Spurs,C-F,6-10,230,"Oct 28, 2000",24,,"Daveed Cohen
Adie von Gontard","San Antonio Spurs, Jul 17, 2024",3
Emoni Bates,Cleveland Cavaliers,PF,6-8,202,"Jan 28, 2004",21,,Charles Tucker,"Cleveland Cavaliers, Aug 20, 2024 Two-Way",1
Jamison Battle,Toronto Raptors,SF,6-7,220,"May 10, 2001",24,Wasserman,"Tadas Bulotas
Aaron Klevan
Joe Smith","Toronto Raptors, Feb 7, 2025",0
Nicolas Batum,Los Angeles Clippers,SG/SF,6-8,230,"Dec 14, 1988",36,Comsport,Bouna Ndiaye,"Los Angeles Clippers, Jul 9, 2024",16
Damion Baugh,Charlotte Hornets,SG,6-4,194,"Aug 3, 2000",24,,Marcus Maples,"Charlotte Hornets, Feb 12, 2025 Two-Way",0
Kent Bazemore,Capital City Go-Go,SG,6-4,195,"Jul 1, 1989",35,Octagon,Jeff Austin,Unrestricted Free Agent,10
Darius Bazley,Leones de Ponce,PF,6-8,208,"Jun 12, 2000",25,Klutch Sports Group,"Brandon Cavanaugh
Rich Paul",Unrestricted Free Agent,5
Bradley Beal,Phoenix Suns,SG,6-4,207,"Jun 28, 1993",32,Priority Sports & Entertainment,"Mark Bartelstein
Reggie Brown","Phoenix Suns, Jul 6, 2022",12
Malik Beasley,Detroit Pistons,SG,6-4,187,"Nov 26, 1996",28,,"Trevor Booker
Brian Jungreis","Detroit Pistons, Jul 11, 2024",8
MarJon Beauchamp,New York Knicks,SF,6-7,199,"Oct 12, 2000",24,Wasserman,Greg Lawrence,"New York Knicks, Mar 4, 2025 Two-Way",2
Charles Bediako,Grand Rapids Gold,C,7-0,225,"Mar 10, 2002",23,,Daniel Green,Unrestricted Free Agent,1
Reece Beekman,Brooklyn Nets,PG,6-3,190,"Oct 8, 2001",23,The Familie,"David Bauman
Travis King Jr.","Brooklyn Nets, Jul 3, 2024 Two-Way",0
Jules Bernard,Cleveland Charge,SG,6-6,210,"Jan 21, 2000",25,Wasserman,"Thaddeus Foucher
Aaron Klevan
Joe Smith","Washington Wizards, Dec 8, 2023 Two-Way",1
Saddiq Bey,Washington Wizards,G-F,6-7,215,"Apr 9, 1999",26,Excel Sports Management,"James Dunleavy
Jordan Gertler","Washington Wizards, Jul 11, 2024",4
Tyler Bey,Homenetmen Beirut,PF,6-7,215,"Feb 10, 1998",27,,Mike Higgins,Unrestricted Free Agent,1
Kavell Bigby-Williams,Al Ahly,PF,6-11,250,"Oct 7, 1995",29,Benalloul Sports Management,Zac Benalloul,Unrestricted Free Agent,0
Goga Bitadze,Orlando Magic,C-F,6-10,250,"Jul 20, 1999",25,Excel Sports Management,"Mike Lindeman
Jared Mucha
Jeff Schwartz","Orlando Magic, Jul 6, 2024",5
Bismack Biyombo,San Antonio Spurs,PF/C,6-8,255,"Aug 28, 1992",32,Wasserman,Jason Ranne,"San Antonio Spurs, Mar 3, 2025",13
Anthony Black,Orlando Magic,SG,6-7,200,"Jan 20, 2004",21,WME Sports,"Bill Duffy
Justin Haynes","Orlando Magic, Jul 1, 2023",1
Leaky Black,Capital City Go-Go,SF,6-6,209,"Jun 14, 1999",26,Gersh Sports,Maxwell Wiepking,Unrestricted Free Agent,1
Antonio Blakeney,Hapoel Tel Aviv,SG,6-4,197,"Oct 4, 1996",28,Network Sports International,Nikolaos Spanos,Unrestricted Free Agent,2
Bogdan Bogdanovic,Los Angeles Clippers,SG,6-5,225,"Aug 18, 1992",32,Wasserman,Jason Ranne,"Los Angeles Clippers, Mar 16, 2023",7
Bol Bol,Phoenix Suns,C-F,7-3,220,"Nov 16, 1999",25,Wasserman,Thaddeus Foucher,"Phoenix Suns, Jul 7, 2024",5
Jonah Bolden,Cangrejeros de Santurce,PF,6-10,220,"Jan 2, 1996",29,Lighthouse Sports Management,Daniel Moldovan,Unrestricted Free Agent,2
Adem Bona,Philadelphia Sixers,PF,6-10,235,"Mar 28, 2003",22,Roc Nation Sports,Sam Permut,"Philadelphia Sixers, Jul 21, 2024",0
Devin Booker,Phoenix Suns,SG,6-6,206,"Oct 30, 1996",28,CAA Sports,"Melvin Booker
Jessica Holtz","Phoenix Suns, Jul 6, 2022",9
Dee Bost,Trotamundos,PG/SG,6-2,176,"Oct 12, 1989",35,Benalloul Sports Management,Zac Benalloul,Unrestricted Free Agent,0
B.J. Boston Jr.,New Orleans Pelicans,SG,6-6,188,"Nov 28, 2001",23,Klutch Sports Group,Rich Paul,"New Orleans Pelicans, Feb 25, 2025",3
Chris Boucher,Toronto Raptors,PF,6-9,200,"Jan 11, 1993",32,Roc Nation Sports,Sam Permut,"Toronto Raptors, Jul 7, 2022",7
James Bouknight,Rip City Remix,SG,6-4,190,"Sep 18, 2000",24,UNLTD Sports Group,"Nick Blatchford
Derek Jackson",Unrestricted Free Agent,3
Jamaree Bouyea,Milwaukee Bucks,PG,6-2,180,"Jun 27, 1999",26,Glushon Sports Management,"Jason Glushon
Paolo Zamorano","Milwaukee Bucks, Mar 4, 2025 Two-Way",2
Jordan Bowden,Saskatchewan Rattlers,SG,6-5,193,"Jan 20, 1997",28,Andy Bountogianis,"Andy Bountogianis
Damien Conner",Unrestricted Free Agent,0
Brian Bowen II,Stockton Kings,F-G,6-7,190,"Oct 2, 1998",26,,Brandon Rosenthal,Unrestricted Free Agent,2
Tony Bradley,Indiana Pacers,C-F,6-11,248,"Jan 8, 1998",27,Impact Sports Management,Mitch Frankel,"Indiana Pacers, Mar 23, 2025",6
Malaki Branham,San Antonio Spurs,SF,6-4,180,"May 12, 2003",22,UNLTD Sports Group,"Nick Blatchford
Derek Jackson","San Antonio Spurs, Jul 8, 2022",2
Christian Braun,Denver Nuggets,SG,6-6,220,"Apr 17, 2001",24,WME Sports,"Diego Arguelles
Andres Arguello
Rade Filipovich","Denver Nuggets, Jul 3, 2022",2
Taylor Braun,Windy City Bulls,SG,6-7,210,"Jul 6, 1991",33,Priority Sports & Entertainment,"Mark Bartelstein
Andy Shiffman",Unrestricted Free Agent,0
Jalen Bridges,Phoenix Suns,PF,6-8,225,"May 14, 2001",24,LAMF Sports,Daniel Curtin,"Phoenix Suns, Jul 2, 2024 Two-Way",0
Mikal Bridges,New York Knicks,G-F,6-6,209,"Aug 30, 1996",28,Excel Sports Management,"Jordan Gertler
Sam Goldfeder","New York Knicks, Oct 18, 2021",6
Miles Bridges,Charlotte Hornets,SF,6-7,225,"Mar 21, 1998",27,Klutch Sports Group,Rich Paul,"Charlotte Hornets, Jul 14, 2024",5
Izaiah Brockington,Vancouver Bandits,SG,6-4,196,"Jul 12, 1999",25,Career Sports and Entertainment (CSE),Darrell Comer,Unrestricted Free Agent,1
Malcolm Brogdon,Washington Wizards,SG,6-4,229,"Dec 11, 1992",32,Roc Nation Sports,Sam Permut,"Washington Wizards, Oct 18, 2021",8
Dillon Brooks,Houston Rockets,G-F,6-6,225,"Jan 22, 1996",29,Klutch Sports Group,"Mike George
Shayaun Saee","Houston Rockets, Jul 8, 2023",7
Keion Brooks Jr.,New Orleans Pelicans,SF,6-7,210,"Aug 7, 2000",24,Wasserman,Darren Matsubara,"New Orleans Pelicans, Jan 9, 2025 Two-Way",0
Darius Brown II,Cleveland Charge,PG,6-2,195,"Jul 28, 1999",25,,Matt Slan,Unrestricted Free Agent,0
Greg Brown III,Calgary Surge,SF,6-7,206,"Sep 1, 2001",23,ProMondo Sports,"Matt Bollero
Maurice Evans","Dallas Mavericks, Oct 21, 2023 Two-Way",3
Jaylen Brown,Boston Celtics,G-F,6-6,223,"Oct 24, 1996",28,Glushon Sports Management,Jason Glushon,"Boston Celtics, Jul 26, 2023",8
Bruce Brown Jr.,New Orleans Pelicans,G-F,6-4,202,"Aug 15, 1996",28,CAA Sports,Ty Sullivan,"New Orleans Pelicans, Jul 6, 2023",6
Charlie Brown Jr.,Raptors 905,SG,6-6,199,"Feb 2, 1997",28,Arete Sports Agency,Andre Buck,"New York Knicks, Oct 21, 2023 Two-Way",4
Terrell Brown Jr.,Greensboro Swarm,PG,6-3,175,"Apr 23, 1998",27,LIFT Sports Management,Ryan Davis,Unrestricted Free Agent,0
Troy Brown Jr.,Cangrejeros de Santurce,G-F,6-7,215,"Jul 28, 1999",25,Glushon Sports Management,"Jason Glushon
Dan Tobin",Unrestricted Free Agent,6
Kobe Brown,Los Angeles Clippers,SF,6-7,250,"Jan 1, 2000",25,Priority Sports & Entertainment,"Mark Bartelstein
Kieran Piller","Los Angeles Clippers, Jul 3, 2023",1
Moses Brown,Westchester Knicks,C,7-2,258,"Oct 13, 1999",25,LIFT Sports Management,Ryan Davis,Unrestricted Free Agent,5
Sterling Brown,KK Partizan,SG,6-5,219,"Feb 10, 1995",30,Priority Sports & Entertainment,"Reggie Brown
Zach Kurtin",Unrestricted Free Agent,6
Jared Brownridge,Delaware Blue Coats,PG,6-3,200,"Nov 13, 1994",30,,Jamar Smiley,Unrestricted Free Agent,0
Jalen Brunson,New York Knicks,PG,6-2,190,"Aug 31, 1996",28,CAA Sports,"Aaron Mintz
Sam Rose","New York Knicks, Jul 12, 2024",6
Thomas Bryant,Indiana Pacers,C-F,6-10,248,"Jul 31, 1997",27,Priority Sports & Entertainment,"Mark Bartelstein
Zach Kurtin","Indiana Pacers, Jul 3, 2024",7
Kobe Bufkin,Atlanta Hawks,SG,6-4,195,"Sep 21, 2003",21,Wasserman,"Jelani Floyd
Thaddeus Foucher
Joe Smith","Atlanta Hawks, Jul 3, 2023",1
Boo Buie,Westchester Knicks,PG,6-2,180,"Dec 7, 1999",25,LAMF Sports,Daniel Curtin,Unrestricted Free Agent,0
Trey Burke,Leones de Ponce,PG,6-0,185,"Nov 12, 1992",32,Benalloul Sports Management,"Zac Benalloul
Alonzo Shavers",Unrestricted Free Agent,9
Alec Burks,Miami Heat,SG,6-5,214,"Jul 20, 1991",33,Klutch Sports Group,"Anthony Fields
Rich Paul","Miami Heat, Jul 4, 2024",13
Jordan Burns,Zonkeys de Tijuana,PG,6-0,175,"Aug 28, 1997",27,,Daniel Green,Unrestricted Free Agent,0
Deonte Burton,Osos de Manati,G-F,6-4,240,"Jan 31, 1994",31,Octagon,"Alex Saratsis
Ron Shade",Unrestricted Free Agent,3
Jimmy Butler III,Golden State Warriors,SF/SG,6-7,230,"Sep 14, 1989",35,Thread Sports Management,Bernie Lee,"Golden State Warriors, Feb 6, 2025",13
Jared Butler,Philadelphia Sixers,PG,6-3,193,"Aug 25, 2000",24,Priority Sports & Entertainment,"Mark Bartelstein
Kieran Piller","Philadelphia Sixers, Feb 13, 2025",3
John Butler,Wisconsin Herd,PF,7-0,190,"Dec 4, 2002",22,WEAVE,Mike Naiditch,Unrestricted Free Agent,2
Matas Buzelis,Chicago Bulls,PF,6-10,209,"Oct 13, 2004",20,Excel Sports Management,Michael Tellem,"Chicago Bulls, Jul 2, 2024",0
Bruno Caboclo,Hapoel Tel Aviv,PF,6-9,218,"Sep 21, 1995",29,Hazan Sports Management,Daniel Hazan,Unrestricted Free Agent,7
Jamal Cain,New Orleans Pelicans,SF,6-6,191,"Mar 20, 1999",26,Klutch Sports Group,"Mike George
Shayaun Saee","New Orleans Pelicans, Jul 12, 2024 Two-Way",2
Kentavious Caldwell-Pope,Memphis Grizzlies,SG,6-5,204,"Feb 18, 1993",32,Klutch Sports Group,Rich Paul,"Memphis Grizzlies, Jul 6, 2024",11
Toumani Camara,Portland Trail Blazers,SF,6-7,229,"May 8, 2000",25,,Dave Putterie,"Portland Trail Blazers, Jul 3, 2023",1
Vlatko Cancar,Denver Nuggets,PF,6-8,236,"Apr 10, 1997",28,Excel Sports Management,"Jordan Gertler
Jared Mucha
Jeff Schwartz","Denver Nuggets, Jul 6, 2024",5
Clint Capela,Atlanta Hawks,C,6-10,256,"May 18, 1994",31,Wasserman,"Darren Matsubara
Jason Ranne","Atlanta Hawks, Sep 1, 2021",10
Branden Carlson,OKC (1/31/2025),C,7-0,220,"Jun 14, 1999",26,Priority Sports & Entertainment,Ross Aroyo,Restricted Free Agent (Oklahoma City Thunder),0
Bub Carrington,Washington Wizards,SG,6-4,190,"Jul 21, 2005",19,UNLTD Sports Group,"Nick Blatchford
Daniel Green","Washington Wizards, Jul 7, 2024",0
Jeffrey Carroll,Helsinki Seagulls,SF,6-6,205,"Nov 6, 1994",30,,Zachary Charles,Unrestricted Free Agent,0
Devin Carter,Sacramento Kings,PG,6-2,195,"Mar 18, 2002",23,WME Sports,"Bill Duffy
Marlon Harrison","Sacramento Kings, Jul 9, 2024",0
Jevon Carter,Chicago Bulls,PG,6-1,200,"Sep 14, 1995",29,Priority Sports & Entertainment,"Reggie Brown
Zach Kurtin","Chicago Bulls, Jul 10, 2023",6
Wendell Carter Jr.,Orlando Magic,C-F,6-10,270,"Apr 16, 1999",26,LIFT Sports Management,Mike Miller,"Orlando Magic, Oct 7, 2024",6
D.J. Carton,San Diego Clippers,PG,6-3,200,"Aug 5, 2000",24,,"Austin Eastman
E.J. Kusnyer",Unrestricted Free Agent,1
Alex Caruso,Oklahoma City Thunder,SG,6-5,186,"Feb 28, 1994",31,Wasserman,Greg Lawrence,"Oklahoma City Thunder, Dec 22, 2024",7
Stephon Castle,San Antonio Spurs,SG,6-6,215,"Nov 1, 2004",20,Wasserman,"Thaddeus Foucher
Joe Smith","San Antonio Spurs, Jul 2, 2024",0
Colin Castleton,Toronto Raptors,C,6-10,250,"May 25, 2000",25,AMR Agency,Aaron Reilly,"Toronto Raptors, Apr 13, 2025",1
Troy Caupain,Grissin Bon Reggio Emilia,SG,6-4,210,"Nov 29, 1995",29,,Gary Durrant,"Orlando Magic, Jul 10, 2018 Two-Way",1
Julian Champagnie,San Antonio Spurs,SF,6-7,217,"Jun 29, 2001",24,UNLTD Sports Group,"Nick Blatchford
Kashif Pratt","San Antonio Spurs, Jul 6, 2023",2
Justin Champagnie,Washington Wizards,G-F,6-6,206,"Jun 29, 2001",24,Hazan Sports Management,Daniel Hazan,"Washington Wizards, Mar 3, 2025",3
Kennedy Chandler,Raptors 905,PG,5-11,170,"Sep 16, 2002",22,LIFT Sports Management,Ryan Davis,Unrestricted Free Agent,1
Jamir Chaplin,Saskatchewan Rattlers,GF,6-5,200,"Oct 30, 2000",24,,Gary Durrant,Unrestricted Free Agent,0
Zylan Cheatham,Adelaide,SF,6-5,220,"Nov 17, 1995",29,WME Sports,Drew Gross,Restricted Free Agent (New Orleans Pelicans),2
Ulrich Chomche,Toronto Raptors,C,6-11,235,"Dec 30, 2005",19,Klutch Sports Group,"Mike Kneisley
Mark Murray
Rich Paul","Toronto Raptors, Jul 9, 2024 Two-Way",0
Cameron Christie,Los Angeles Clippers,SG,6-6,190,"Jul 24, 2005",19,LIFT Sports Management,"Kevin Bradbury
Noah Croom","Los Angeles Clippers, Jul 5, 2024",0
Max Christie,Dallas Mavericks,SG,6-5,190,"Feb 10, 2003",22,LIFT Sports Management,"Kevin Bradbury
Lacy LaFour","Dallas Mavericks, Jul 6, 2024",2
Josh Christopher,Miami Heat,SG,6-4,215,"Dec 8, 2001",23,WME Sports,"Bill Duffy
Isiah Turner","Miami Heat, Jul 25, 2024 Two-Way",3
Sidy Cissoko,Portland Trail Blazers,SG,6-6,200,"Apr 2, 2004",21,,"Nicolas Dos Santos
Maxwell Wiepking","Portland Trail Blazers, Feb 8, 2025 Two-Way",1
Ian Clark,Cangrejeros de Santurce,SG,6-3,175,"Mar 7, 1991",34,WME Sports,"Bill Duffy
Rade Filipovich",Unrestricted Free Agent,6
Jaylen Clark,Minnesota Timberwolves,SG,6-4,205,"Oct 13, 2001",23,Life Sports Agency,Todd Ramasar,"Minnesota Timberwolves, Feb 27, 2025",1
Kihei Clark,Mexico City Capitanes,PG,5-10,167,"Jan 25, 2000",25,Wasserman,Darren Matsubara,Unrestricted Free Agent,0
Brandon Clarke,Memphis Grizzlies,PF,6-8,215,"Sep 19, 1996",28,Priority Sports & Entertainment,Mark Bartelstein,"Memphis Grizzlies, Oct 16, 2022",5
Jordan Clarkson,Utah Jazz,PG,6-3,194,"Jun 7, 1992",33,Klutch Sports Group,"Brandon Cavanaugh
Rich Paul","Utah Jazz, Jul 7, 2023",10
Gian Clavell,Piratas de Quebradillas,SG,6-4,185,"Nov 26, 1993",31,,Marko Jelic,Unrestricted Free Agent,1
Nicolas Claxton,Brooklyn Nets,C,6-11,215,"Apr 17, 1999",26,CAA Sports,"Richard Beda
Austin Brown
Steven Heumann
Aaron Mintz","Brooklyn Nets, Jul 6, 2024",5
Antonius Cleveland,CSKA Moscow,SG,6-6,195,"Feb 2, 1994",31,Equity Basketball,"Brandon Grier
Mike Silverman","Dallas Mavericks, Jul 24, 2019 Two-Way",2
Donovan Clingan,Portland Trail Blazers,C,7-2,280,"Feb 23, 2004",21,Excel Sports Management,"Sean Kennedy
Jared Mucha","Portland Trail Blazers, Jul 4, 2024",0
Noah Clowney,Brooklyn Nets,F-C,6-9,210,"Jul 14, 2004",20,Klutch Sports Group,"Anthony Fields
Rich Paul","Brooklyn Nets, Jul 11, 2023",1
Amir Coffey,Los Angeles Clippers,G-F,6-7,210,"Jun 17, 1997",28,WME Sports,"Bill Duffy
Marlon Harrison","Los Angeles Clippers, Jul 6, 2022",5
Norris Cole,Osos de Manati,PG,6-2,170,"Oct 13, 1988",36,Priority Sports & Entertainment,Andy Shiffman,Unrestricted Free Agent,6
Matt Coleman III,Ottawa Blackjacks,PG,6-2,180,"Jan 22, 1998",27,,Jordan Cornish,Unrestricted Free Agent,0
Isaiah Collier,Utah Jazz,PG,6-3,210,"Oct 8, 2004",20,Wasserman,Jason Ranne,"Utah Jazz, Jul 2, 2024",0
John Collins,Utah Jazz,F-C,6-9,226,"Sep 23, 1997",27,Excel Sports Management,"Sean Kennedy
Jeff Schwartz","Utah Jazz, Aug 6, 2021",7
Yuri Collins,Scarborough Shooting Stars,PG,6-0,190,"Mar 7, 2001",24,LIFT Sports Management,Noah Croom,Unrestricted Free Agent,0
Zach Collins,Chicago Bulls,F-C,6-11,250,"Nov 19, 1997",27,Priority Sports & Entertainment,"Mark Bartelstein
Kieran Piller","Chicago Bulls, Oct 22, 2023",7
George Conditt IV,Gigantes de Carolina,C,6-11,234,"Aug 22, 2000",24,Power Sports,Pedro Power,Unrestricted Free Agent,0
Mike Conley,Minnesota Timberwolves,PG,6-0,175,"Oct 11, 1987",37,Michael Conley Sr.,"Michael Conley, Sr.
Steven Heumann
Jessica Holtz","Minnesota Timberwolves, Feb 22, 2024",17
Pat Connaughton,Milwaukee Bucks,SG,6-5,209,"Jan 6, 1993",32,Excel Sports Management,"Jordan Gertler
Jeff Schwartz
Lance Young","Milwaukee Bucks, Jul 18, 2022",9
Keandre Cook,Rio Breogan,SG,6-5,187,"May 1, 1997",28,Summit Sports Group,Neal Rosenshein,Unrestricted Free Agent,0
Tyler Cook,Ibaraki Robots,PF,6-8,250,"Sep 23, 1997",27,Glushon Sports Management,"Jason Glushon
Dan Tobin","Chicago Bulls, Oct 16, 2021 Two-Way",3
Javonte Cooke,Oklahoma City Blue,SG,6-6,185,"Jul 11, 1999",25,,Jerry Dianis,Unrestricted Free Agent,0
Xavier Cooks,Sydney,PF,6-8,183,"Aug 19, 1995",29,Lighthouse Sports Management,Daniel Moldovan,Unrestricted Free Agent,1
Bryce Cotton,Adelaide,PG,6-1,165,"Aug 11, 1992",32,Pensack Sports,Adam Pensack,Unrestricted Free Agent,2
Bilal Coulibaly,Washington Wizards,SG,6-8,195,"Jul 26, 2004",20,Comsport,Bouna Ndiaye,"Washington Wizards, Jul 2, 2023",1
Ricky Council IV,Philadelphia Sixers,SG,6-6,207,"Aug 3, 2001",23,Young Money APAA,Adie von Gontard,"Philadelphia Sixers, Apr 13, 2024",1
Ben Coupet Jr.,Windy City Bulls,SF,6-7,185,"Jan 28, 1998",27,WEAVE,Mike Naiditch,Unrestricted Free Agent,0
DeMarcus Cousins,Mets de Guaynabo,C,6-11,270,"Aug 13, 1990",34,Benalloul Sports Management,"Zac Benalloul
Jordan Gertler
Jeff Schwartz",Unrestricted Free Agent (Denver Nuggets),12
Torrey Craig,Boston Celtics,SF,6-5,221,"Dec 19, 1990",34,Priority Sports & Entertainment,"Mark Bartelstein
Kyle McAlarney","Boston Celtics, Feb 8, 2025",7
Isaiah Crawford,Sacramento Kings,SF,6-6,220,"Nov 1, 2001",23,Arete Sports Agency,Andre Buck,Restricted Free Agent (Sacramento Kings),0
Mitchell Creek,Vancouver Bandits,SG,6-6,225,"Apr 27, 1992",33,,"Mason Ashe
Marquis Taylor",Unrestricted Free Agent,1
Jae Crowder,Sacramento Kings,SF,6-6,235,"Jul 6, 1990",34,,Glenn Schwartzman,"Sacramento Kings, Nov 27, 2024",12
Jalen Crutcher,Birmingham Squadron,PG,6-1,175,"Jul 18, 1999",25,Wasserman,Tony Ronzone,Unrestricted Free Agent,1
